,conversation,speaker,backchannel_given,backchannel_recieved
0,30398fc0-0fea-4f6d-b9b5-9f8608725e3a,5d79375d794d900017671c07,41,194
1,30398fc0-0fea-4f6d-b9b5-9f8608725e3a,5ed9df4296035b58dce21946,194,41
0,ddfa817a-e6cd-49e4-8861-f079c3ab26ac,5f46d30b7190200a2cb1905c,83,148
1,ddfa817a-e6cd-49e4-8861-f079c3ab26ac,5f4efbf90b8cc113d26921a4,148,83
0,b2228c2e-38dc-4687-aeba-00c762c678e3,5bf54aa4d382df0001b9e43b,98,115
1,b2228c2e-38dc-4687-aeba-00c762c678e3,5c4de8f726093e000134ee6e,115,98
0,e55c5691-3c46-4090-a4f2-1444f7ee698c,5a198755f2e3460001edc5c9,233,91
1,e55c5691-3c46-4090-a4f2-1444f7ee698c,5ec2feeb47c4471339d3b2ce,91,233
0,289be61b-6e42-4677-874e-6e858d52b8c3,5dcf55f1cc192008cf8404b8,66,178
1,289be61b-6e42-4677-874e-6e858d52b8c3,5ee2a7978099c00d4793c807,178,66
0,41883195-c82b-4192-9c12-7336fe02c163,5dd3699ee73e6136c640f1cf,170,110
1,41883195-c82b-4192-9c12-7336fe02c163,5e9b860b845ce808703dd6dc,110,170
0,b9291f3e-8395-4803-a723-105db19cae02,5e567cd58e4500024e8d096c,78,250
1,b9291f3e-8395-4803-a723-105db19cae02,5f67c86c73bbcf40f72deeaa,250,78
0,40e347bb-13d7-44bf-859c-19f70a470f66,5eb35e715308a1157ae3b853,100,296
1,40e347bb-13d7-44bf-859c-19f70a470f66,5ebabe2f4d32da02ed3a6915,296,100
0,588c5b4b-5e92-426c-8acc-686628a7342f,5ce356fa1497a8001a8469d3,145,56
1,588c5b4b-5e92-426c-8acc-686628a7342f,5ddbdd54f30aa6b365b4ebab,56,145
0,5c89fd8d-9663-4d7d-bbdd-a919c95e986b,5a79f14a8fe2dc00010593eb,48,154
1,5c89fd8d-9663-4d7d-bbdd-a919c95e986b,5f7b883e86b82815a5a63f06,154,48
0,ca0e9f0d-3631-407d-96d1-7324ebeb6716,5ec5a705a9b68d5f1f482ce5,169,153
1,ca0e9f0d-3631-407d-96d1-7324ebeb6716,5efbe4f0c9f37c1a3b70afaf,153,169
0,cd5a187a-c5b7-4228-8dbe-b58010f5007d,5e2de5a5ca99353d0b03b72d,162,189
1,cd5a187a-c5b7-4228-8dbe-b58010f5007d,5f6e7ce18d7ea83c39acc2d5,189,162
0,701ef0cb-c9fb-4050-81cc-2eceb099a891,561d98e03d7fe8000b0f5e09,43,287
1,701ef0cb-c9fb-4050-81cc-2eceb099a891,5c5f7a56054ae60001d066f2,287,43
0,bd0aaafb-f27f-408e-b8af-b41c879338cb,5e7e70c583c34c53f6c643db,99,137
1,bd0aaafb-f27f-408e-b8af-b41c879338cb,5eea4a214c865810724760f1,137,99
0,556af996-c50e-45c8-a7af-fb8a42c22640,5ec5b367ec26b761ec0fc87d,165,124
1,556af996-c50e-45c8-a7af-fb8a42c22640,5f4acc7968b4376a97fcea19,124,165
0,866d180b-4e1b-4155-97d1-a9cdfe5faf28,5aeffc6e0ccc2e000185aa28,82,336
1,866d180b-4e1b-4155-97d1-a9cdfe5faf28,5eb05058661fe60d7601edde,336,82
0,4cc6a596-48b7-449b-b6af-a27263c72021,5db9a46ff8e3f9000f88cb85,155,171
1,4cc6a596-48b7-449b-b6af-a27263c72021,5ee12e737def25505356237d,171,155
0,fd8146e2-378f-459a-bec6-e76896e135a0,56df9a836b4093000bd896c7,123,101
1,fd8146e2-378f-459a-bec6-e76896e135a0,5ba2d949821f7600011d1ccc,101,123
0,bc88484f-b39a-4935-8f0d-b96b7113d6cd,5dfa7f42fe10857dd1a8bfb1,156,164
1,bc88484f-b39a-4935-8f0d-b96b7113d6cd,5e9c8aace6eae81abf309d53,164,156
0,95d7d1a0-eeca-4eda-9b1d-9e72edd0c560,59d5126df35ff40001914d8e,132,195
1,95d7d1a0-eeca-4eda-9b1d-9e72edd0c560,5deb1865986140241391d84a,195,132
0,77f35248-1a74-45ae-b3b2-dfa5433093e3,5f482b0da1cde52de45f174c,72,47
1,77f35248-1a74-45ae-b3b2-dfa5433093e3,5f4e8f0ac0126208c0db2f91,47,72
0,def3abdb-eb20-473a-8d39-592b99d4bda6,5ec2feeb47c4471339d3b2ce,91,222
1,def3abdb-eb20-473a-8d39-592b99d4bda6,5efe33b14177723069d82cfd,222,91
0,2b74fe16-8ecd-476b-a432-b0b11dbe98fd,5e5c5cd271e46043eab5fc56,107,211
1,2b74fe16-8ecd-476b-a432-b0b11dbe98fd,5f52c941fc18905c7e8f78fd,211,107
0,a8005509-cb36-465a-9643-7003e4402b3f,5eac240458076b2299539277,105,131
1,a8005509-cb36-465a-9643-7003e4402b3f,5ec735fc4131bd17f438838c,131,105
0,e2238c08-0e10-4265-9f18-d3b387fa4056,5e2721b01160079464059b5c,138,98
1,e2238c08-0e10-4265-9f18-d3b387fa4056,5ea1119c737ba611c77c0b77,98,138
0,e2a8df83-6b26-45f0-8d4a-174233968970,5e387b36caa8e1000da3f0f8,116,105
1,e2a8df83-6b26-45f0-8d4a-174233968970,5f8e2a9201810e1f2b9f63a2,105,116
0,8e00da37-7586-4718-922e-feac93b75553,5dab7683c514d8001730ae4e,89,182
1,8e00da37-7586-4718-922e-feac93b75553,5f07070d75038e05e9fcf515,182,89
0,9cfb7453-92b7-4e13-aa0d-32b6793ec1c0,5d5b64a224470200150a9cf1,189,41
1,9cfb7453-92b7-4e13-aa0d-32b6793ec1c0,5dd1dc9110420023be388e5d,41,189
0,a0631507-f0f8-46cc-bd93-4241f86a30b9,5dd2f7403c4937312433cc11,147,77
1,a0631507-f0f8-46cc-bd93-4241f86a30b9,5ec74aa8015f9f1a3452eb05,77,147
0,f2796cfa-777a-46a7-9cb0-c4b288ca0094,5ef831c97dcd65573bbb0649,75,274
1,f2796cfa-777a-46a7-9cb0-c4b288ca0094,5f67f123a9151c4484c6e1f4,274,75
0,c135c056-e51a-40f5-ab96-cc9f217f6389,5a73899f9cdd1800017786f0,77,208
1,c135c056-e51a-40f5-ab96-cc9f217f6389,5f4d2156f727e10c3c2c4a35,208,77
0,4068e5ec-1e1a-42f1-979b-0dd423fa2c48,5eb1e9b96c1f4713ed5d0a1e,551,100
1,4068e5ec-1e1a-42f1-979b-0dd423fa2c48,5f0395a63963d05bc235abdb,100,551
0,491f9074-6f14-4ecd-a809-700599d28d82,5d8d821215875e001482ece7,47,97
1,491f9074-6f14-4ecd-a809-700599d28d82,5f4c5105ad5ee685d48bcca2,97,47
0,5348de6b-afa5-4c36-8087-cd3bf94eedfd,5dd5db1ded7ea4574c7bc996,58,52
1,5348de6b-afa5-4c36-8087-cd3bf94eedfd,5e01ac85617219d6da5ab31c,52,58
0,b820b441-4843-4b49-a46d-8bcdf659aeba,5e56a66121583601d3c3526a,117,106
1,b820b441-4843-4b49-a46d-8bcdf659aeba,5eb35afb20c7f015a0697687,106,117
0,80d9e496-db7f-49e3-8789-06850e62ffa1,5e4aedd76f4883000e48bfe4,52,49
1,80d9e496-db7f-49e3-8789-06850e62ffa1,5e97af0bca82b6278c859323,49,52
0,18efe569-a8ea-49fb-8776-aa4da710502c,5f5127e45185c93094565dcd,174,230
1,18efe569-a8ea-49fb-8776-aa4da710502c,5f557591aa1c4e950ba02f01,230,174
0,2f749ec2-aa7b-4a41-8aa1-5bd7a387b90a,5b0319e68d753d0001cc75c7,157,61
